Designator,Mid X,Mid Y,Layer,Rotation
C1,84.300000mm,-58.000000mm,Top,45
C2,77.900000mm,-88.900000mm,Top,0
C3,80.500000mm,-58.000000mm,Top,225
C4,71.400000mm,-54.212500mm,Top,270
C5,69.800000mm,-54.212500mm,Top,270
C6,70.512500mm,-58.100000mm,Top,0
C7,70.512500mm,-56.500000mm,Top,0
C8,84.328800mm,-93.982500mm,Top,180
C9,84.328800mm,-95.506500mm,Top,180
C10,84.328800mm,-97.030500mm,Top,180
C11,84.300000mm,-92.500000mm,Top,180
C12,69.100000mm,-51.800000mm,Top,0
C13,83.566000mm,-79.883000mm,Top,270
C14,91.998800mm,-79.883000mm,Top,270
C15,43.000000mm,-42.750000mm,Top,270
C17,40.665400mm,-64.135000mm,Top,270
C18,41.554400mm,-55.321200mm,Top,90
C19,39.573200mm,-42.418000mm,Top,0
C20,34.163000mm,-109.855000mm,Top,0
C21,53.350000mm,-100.950000mm,Top,0
C22,57.000000mm,-100.950000mm,Top,180
C23,60.112500mm,-99.300000mm,Top,180
C24,60.100000mm,-97.700000mm,Top,180
C25,65.125600mm,-79.400400mm,Top,90
C26,45.897800mm,-75.311000mm,Top,180
C27,62.212500mm,-94.500000mm,Top,180
C28,47.350000mm,-100.050000mm,Top,0
C29,62.200000mm,-96.100000mm,Top,180
C30,43.383200mm,-91.897200mm,Top,180
C31,63.804800mm,-91.948000mm,Top,90
C32,63.601600mm,-79.400400mm,Top,270
C33,45.900000mm,-76.800000mm,Top,0
C34,25.400000mm,-87.884000mm,Top,180
C35,74.400000mm,-40.900000mm,Top,0
C36,27.686000mm,-105.727500mm,Top,0
C37,64.389000mm,-111.887000mm,Top,270
C38,27.686000mm,-104.203500mm,Top,180
C39,26.797000mm,-101.790500mm,Top,0
C40,65.849500mm,-59.436000mm,Top,180
C41,86.900000mm,-79.883000mm,Top,270
C42,67.450000mm,-105.400000mm,Top,270
C43,93.100000mm,-76.637500mm,Top,270
C44,50.350000mm,-100.050000mm,Top,0
C78,40.640000mm,-60.553600mm,Top,90
C79,55.245000mm,-59.436000mm,Top,180
C80,47.244000mm,-50.419000mm,Top,90
C82,60.071000mm,-58.801000mm,Top,0
D1,95.186500mm,-80.200500mm,Top,0
D2,85.700000mm,-85.500000mm,Top,450
D7,54.500000mm,-108.400000mm,Top,90
D13,65.252600mm,-50.495200mm,Top,180
D14,60.833000mm,-104.902000mm,Top,180
D16,60.833000mm,-112.268000mm,Top,180
D17,56.600000mm,-104.200000mm,Top,0
D19,25.400000mm,-86.309200mm,Top,180
D21,38.650000mm,-97.050000mm,Top,0
D22,38.633500mm,-98.950000mm,Top,0
D23,38.633500mm,-95.150000mm,Top,0
D27,38.633500mm,-93.250000mm,Top,0
D28,64.400000mm,-74.400000mm,Top,0
D29,56.900000mm,-73.000000mm,Top,180
D30,94.600000mm,-55.350000mm,Top,270
D31,94.600000mm,-52.150000mm,Top,270
D32,97.100000mm,-55.300000mm,Top,270
D33,97.600000mm,-52.200000mm,Top,270
D34,24.050000mm,-47.050000mm,Top,270
D35,26.250000mm,-35.150000mm,Top,270
D36,96.000000mm,-87.250000mm,Top,90
D37,91.789200mm,-87.250000mm,Top,90
D38,54.991000mm,-50.419000mm,Top,180
D39,60.388500mm,-50.495200mm,Top,0
D40,49.951640mm,-50.444400mm,Top,0
D41,76.835000mm,-98.425000mm,Top,90
D42,67.300000mm,-92.300000mm,Top,450
D43,90.400000mm,-50.150000mm,Top,90
FB1,64.500000mm,-97.025000mm,Top,270
FID1,28.194000mm,-27.736800mm,Top,0
FID2,42.799000mm,-94.488000mm,Top,0
FID3,75.300000mm,-58.300000mm,Top,0
FID4,81.407000mm,-105.867200mm,Top,0
J2,46.159000mm,-108.992200mm,Top,270
J4,35.763200mm,-75.971400mm,Top,90
Q1,92.456000mm,-96.520000mm,Top,0
R1,40.081200mm,-55.321200mm,Top,90
R2,75.100000mm,-81.300000mm,Top,270
