Designator,Mid X,Mid Y,Layer,Rotation
C1,105.300000mm,-76.000000mm,Top,45
C1,190.300000mm,-173.000000mm,Top,45
C2,183.900000mm,-203.900000mm,Top,180
C2,98.900000mm,-106.900000mm,Top,180
C3,186.500000mm,-173.000000mm,Top,225
C3,101.500000mm,-76.000000mm,Top,225
C4,92.400000mm,-72.212500mm,Top,270
C4,177.400000mm,-169.212500mm,Top,270
C5,90.800000mm,-72.212500mm,Top,270
C5,175.800000mm,-169.212500mm,Top,270
C6,91.358000mm,-76.100000mm,Top,0
C6,176.358000mm,-173.100000mm,Top,0
C7,176.512500mm,-171.500000mm,Top,0
C7,91.512500mm,-74.500000mm,Top,0
C8,105.328800mm,-111.982500mm,Top,180
C8,190.328800mm,-208.982500mm,Top,180
C9,105.328800mm,-113.506500mm,Top,180
C9,190.328800mm,-210.506500mm,Top,180
C10,190.328800mm,-212.030500mm,Top,180
C10,105.328800mm,-115.030500mm,Top,180
C11,190.300000mm,-207.500000mm,Top,180
C11,105.300000mm,-110.500000mm,Top,180
C12,91.612000mm,-69.800000mm,Top,0
C12,176.612000mm,-166.800000mm,Top,0
C13,189.566000mm,-194.883000mm,Top,270
C13,104.566000mm,-97.883000mm,Top,270
C14,197.998800mm,-194.883000mm,Top,270
C14,112.998800mm,-97.883000mm,Top,270
C15,149.000000mm,-157.750000mm,Top,270
C15,64.000000mm,-60.750000mm,Top,270
C16,90.596000mm,-60.799000mm,Top,180
C16,175.596000mm,-157.799000mm,Top,180
C17,61.665400mm,-82.135000mm,Top,270
C17,146.665400mm,-179.135000mm,Top,270
C18,147.554400mm,-170.321200mm,Top,90
C18,62.554400mm,-73.321200mm,Top,90
C19,60.573200mm,-60.418000mm,Top,0
C19,145.573200mm,-157.418000mm,Top,0
C20,55.163000mm,-127.855000mm,Top,0
C20,140.163000mm,-224.855000mm,Top,0
C21,72.790500mm,-118.950000mm,Top,0
C21,157.790500mm,-215.950000mm,Top,0
C22,161.118000mm,-215.950000mm,Top,180
C22,76.118000mm,-118.950000mm,Top,180
C23,165.055000mm,-212.053500mm,Top,90
C23,80.055000mm,-115.053500mm,Top,90
C24,166.579000mm,-212.053500mm,Top,90
C24,81.579000mm,-115.053500mm,Top,90
C25,86.125600mm,-97.400400mm,Top,90
C25,171.125600mm,-194.400400mm,Top,90
C26,151.897800mm,-190.311000mm,Top,180
C26,66.897800mm,-93.311000mm,Top,180
C27,169.627000mm,-211.520000mm,Top,90
C27,84.627000mm,-114.520000mm,Top,90
C28,67.990000mm,-118.837500mm,Top,270
C28,152.990000mm,-215.837500mm,Top,270
C29,168.103000mm,-211.520000mm,Top,90
C29,83.103000mm,-114.520000mm,Top,90
C30,64.383200mm,-109.897200mm,Top,180
C30,149.383200mm,-206.897200mm,Top,180
C31,84.804800mm,-109.948000mm,Top,90
C31,169.804800mm,-206.948000mm,Top,90
C32,84.601600mm,-97.400400mm,Top,270
C32,169.601600mm,-194.400400mm,Top,270
C33,66.900000mm,-94.800000mm,Top,0
C33,151.900000mm,-191.800000mm,Top,0
C34,46.400000mm,-105.884000mm,Top,180
C34,131.400000mm,-202.884000mm,Top,180
C35,95.400000mm,-58.900000mm,Top,0
C35,180.400000mm,-155.900000mm,Top,0
C36,48.686000mm,-123.727500mm,Top,0
C36,133.686000mm,-220.727500mm,Top,0
C37,170.389000mm,-226.887000mm,Top,270
C37,85.389000mm,-129.887000mm,Top,270
C38,48.686000mm,-122.203500mm,Top,180
C38,133.686000mm,-219.203500mm,Top,180
C39,132.797000mm,-216.790500mm,Top,0
C39,47.797000mm,-119.790500mm,Top,0
C40,171.849500mm,-174.436000mm,Top,180
C40,86.849500mm,-77.436000mm,Top,180
C41,192.900000mm,-194.883000mm,Top,270
C41,107.900000mm,-97.883000mm,Top,270
C42,88.450000mm,-123.400000mm,Top,270
C42,173.450000mm,-220.400000mm,Top,270
C43,199.100000mm,-191.637500mm,Top,270
C43,114.100000mm,-94.637500mm,Top,270
C44,70.530000mm,-118.837500mm,Top,90
C44,155.530000mm,-215.837500mm,Top,90
C45,175.215000mm,-159.069000mm,Top,0
C45,90.215000mm,-62.069000mm,Top,0
C46,173.310000mm,-157.799000mm,Top,180
C46,88.310000mm,-60.799000mm,Top,180
C47,88.056000mm,-62.069000mm,Top,0
C47,173.056000mm,-159.069000mm,Top,0
C48,86.151000mm,-60.799000mm,Top,180
C48,171.151000mm,-157.799000mm,Top,180
C49,170.643000mm,-159.069000mm,Top,0
C49,85.643000mm,-62.069000mm,Top,0
C50,168.992000mm,-157.799000mm,Top,180
C50,83.992000mm,-60.799000mm,Top,180
C51,83.484000mm,-62.069000mm,Top,0
C51,168.484000mm,-159.069000mm,Top,0
