Designator,Mid X,Mid Y,Layer,Rotation
C1,84.300000mm,-58.000000mm,Top,45
C2,77.900000mm,-88.900000mm,Top,180
C3,80.500000mm,-58.000000mm,Top,225
C4,71.400000mm,-54.212500mm,Top,270
C5,69.800000mm,-54.212500mm,Top,270
C6,70.358000mm,-58.100000mm,Top,0
C7,70.512500mm,-56.500000mm,Top,0
C8,84.328800mm,-93.982500mm,Top,180
C9,84.328800mm,-95.506500mm,Top,180
C10,84.328800mm,-97.030500mm,Top,180
C11,84.300000mm,-92.500000mm,Top,180
C12,70.612000mm,-51.800000mm,Top,0
C13,83.566000mm,-79.883000mm,Top,270
C14,91.998800mm,-79.883000mm,Top,270
C15,43.000000mm,-42.750000mm,Top,270
C16,69.596000mm,-42.799000mm,Top,180
C17,40.665400mm,-64.135000mm,Top,270
C18,41.554400mm,-55.321200mm,Top,90
C19,39.573200mm,-42.418000mm,Top,0
C20,34.163000mm,-109.855000mm,Top,0
C21,51.790500mm,-100.950000mm,Top,0
C22,55.118000mm,-100.950000mm,Top,180
C23,59.055000mm,-97.053500mm,Top,90
C24,60.579000mm,-97.053500mm,Top,90
C25,65.125600mm,-79.400400mm,Top,90
C26,45.897800mm,-75.311000mm,Top,180
C27,63.627000mm,-96.520000mm,Top,90
C28,46.990000mm,-100.837500mm,Top,270
C29,62.103000mm,-96.520000mm,Top,90
C30,43.383200mm,-91.897200mm,Top,180
C31,63.804800mm,-91.948000mm,Top,90
C32,63.601600mm,-79.400400mm,Top,270
C33,45.900000mm,-76.800000mm,Top,0
C34,25.400000mm,-87.884000mm,Top,180
C35,74.400000mm,-40.900000mm,Top,0
C36,27.686000mm,-105.727500mm,Top,0
C37,64.389000mm,-111.887000mm,Top,270
C38,27.686000mm,-104.203500mm,Top,180
C39,26.797000mm,-101.790500mm,Top,0
C40,65.849500mm,-59.436000mm,Top,180
C41,86.900000mm,-79.883000mm,Top,270
C42,67.450000mm,-105.400000mm,Top,270
C43,93.100000mm,-76.637500mm,Top,270
C44,49.530000mm,-100.837500mm,Top,90
C45,69.215000mm,-44.069000mm,Top,0
C46,67.310000mm,-42.799000mm,Top,180
C47,67.056000mm,-44.069000mm,Top,0
C48,65.151000mm,-42.799000mm,Top,180
C49,64.643000mm,-44.069000mm,Top,0
C50,62.992000mm,-42.799000mm,Top,180
C51,62.484000mm,-44.069000mm,Top,0
C52,58.674000mm,-45.974000mm,Top,180
C53,58.166000mm,-47.244000mm,Top,0
C54,56.261000mm,-45.974000mm,Top,180
C55,55.626000mm,-47.244000mm,Top,0
C56,52.324000mm,-45.974000mm,Top,180
C57,51.816000mm,-47.244000mm,Top,0
C58,50.038000mm,-45.974000mm,Top,180
C59,49.530000mm,-47.244000mm,Top,0
C78,40.640000mm,-60.553600mm,Top,90
C79,55.245000mm,-59.436000mm,Top,180
C80,47.244000mm,-50.419000mm,Top,90
C82,60.071000mm,-58.801000mm,Top,0
D1,95.186500mm,-80.200500mm,Top,180
D2,85.700000mm,-85.500000mm,Top,270
D7,54.483000mm,-108.458000mm,Top,90
D13,65.252600mm,-50.495200mm,Top,0
D14,63.271400mm,-104.546400mm,Top,180
D16,60.833000mm,-112.268000mm,Top,0
D17,55.753000mm,-104.902000mm,Top,0
D19,25.400000mm,-86.309200mm,Top,180
D21,38.650000mm,-97.050000mm,Top,0
D22,38.633500mm,-98.950000mm,Top,0
D23,38.633500mm,-95.150000mm,Top,0
D27,38.633500mm,-93.250000mm,Top,0
D28,64.400000mm,-74.400000mm,Top,0
D29,56.900000mm,-73.000000mm,Top,180
D30,94.600000mm,-55.350000mm,Top,270
D31,94.600000mm,-52.150000mm,Top,270
D32,97.100000mm,-55.300000mm,Top,270
D33,97.600000mm,-52.200000mm,Top,270
D34,24.050000mm,-47.050000mm,Top,270
D35,26.250000mm,-35.150000mm,Top,270
D36,96.000000mm,-87.250000mm,Top,90
D37,91.789200mm,-87.250000mm,Top,90
D38,54.991000mm,-50.419000mm,Top,0
D39,60.388500mm,-50.495200mm,Top,180
D40,49.951640mm,-50.444400mm,Top,180
D41,76.835000mm,-98.425000mm,Top,270
D42,67.300000mm,-92.300000mm,Top,270
D43,90.400000mm,-50.150000mm,Top,90
FB1,63.754000mm,-94.234000mm,Top,180
FID1,28.194000mm,-27.736800mm,Top,0
FID2,42.799000mm,-94.488000mm,Top,0
FID3,91.567000mm,-60.325000mm,Top,0
FID4,81.407000mm,-105.867200mm,Top,0
J1,60.934600mm,-107.721400mm,Top,180
J2,46.151800mm,-108.966000mm,Top,270
J4,35.763200mm,-75.971400mm,Top,90
Q1,92.456000mm,-96.520000mm,Top,0
R1,40.081200mm,-55.321200mm,Top,90
R2,75.100000mm,-81.300000mm,Top,270
R3,73.378087mm,-59.738287mm,Top,135
R4,73.800000mm,-76.712500mm,Top,90
R5,62.400000mm,-67.400000mm,Top,90
R6,89.027000mm,-79.883000mm,Top,90
R7,70.739000mm,-38.735000mm,Top,90
R8,85.100000mm,-79.900000mm,Top,90
R9,70.612000mm,-50.292000mm,Top,0
R10,90.600000mm,-54.100000mm,Top,270
R11,53.594000mm,-44.704000mm,Top,0
R12,69.850000mm,-48.000000mm,Top,270
R13,71.374000mm,-48.000000mm,Top,270
R14,60.706000mm,-42.672000mm,Top,0
R15,74.400000mm,-39.400000mm,Top,0
R16,38.582600mm,-55.321200mm,Top,270
R17,74.200000mm,-42.500000mm,Top,0
R18,74.200000mm,-44.000000mm,Top,0
R19,77.500000mm,-40.900000mm,Top,180
R20,90.512900mm,-79.883000mm,Top,270
R22,85.800000mm,-82.800000mm,Top,0
R23,60.579000mm,-43.688000mm,Top,0
R24,65.405000mm,-33.401000mm,Top,180
R25,54.610000mm,-43.688000mm,Top,180
R26,60.900000mm,-67.400000mm,Top,90
R27,54.610000mm,-42.672000mm,Top,180
R28,56.887501mm,-74.500000mm,Top,0
R29,61.300000mm,-74.400000mm,Top,180
R30,69.900800mm,-70.408800mm,Top,270
R31,63.500000mm,-30.861000mm,Top,0
R32,59.400000mm,-67.400000mm,Top,90
R34,63.195200mm,-35.814000mm,Top,180
R35,57.900000mm,-67.400000mm,Top,90
R36,94.600000mm,-49.100000mm,Top,90
R37,62.738000mm,-33.401000mm,Top,180
R38,62.400000mm,-70.400000mm,Top,90
R39,60.900000mm,-70.400000mm,Top,90
R40,53.594000mm,-41.656000mm,Top,0
R41,58.216800mm,-35.839400mm,Top,0
R42,39.573200mm,-40.894000mm,Top,0
R43,37.211000mm,-109.855000mm,Top,180
R44,59.400000mm,-70.400000mm,Top,90
R45,43.304500mm,-89.281800mm,Top,180
R46,57.900000mm,-70.400000mm,Top,90
R47,57.277000mm,-111.887000mm,Top,270
R48,65.786000mm,-105.079800mm,Top,270
R49,97.600000mm,-49.100000mm,Top,90
R50,25.400000mm,-84.734400mm,Top,180
R51,24.700000mm,-35.150000mm,Top,90
R52,69.850000mm,-35.560000mm,Top,135
R53,68.400000mm,-67.400000mm,Top,90
R54,68.961000mm,-36.144200mm,Top,135
R55,66.900000mm,-67.400000mm,Top,90
R56,65.405000mm,-30.861000mm,Top,180
R57,65.400000mm,-67.400000mm,Top,90
R58,65.659000mm,-35.814000mm,Top,0
R59,63.900000mm,-67.400000mm,Top,90
R60,68.400000mm,-70.400000mm,Top,90
R61,66.900000mm,-70.400000mm,Top,90
R62,65.400000mm,-70.400000mm,Top,90
R63,63.900000mm,-70.400000mm,Top,90
