Designator,Mid X,Mid Y,Layer,Rotation
C1,80.772000mm,-57.150000mm,Top,90
C2,77.900000mm,-88.900000mm,Top,180
C3,79.248000mm,-57.150000mm,Top,270
C4,70.500000mm,-53.500000mm,Top,180
C5,70.500000mm,-52.000000mm,Top,180
C6,70.485000mm,-56.769000mm,Top,0
C7,70.500000mm,-55.000000mm,Top,180
C8,84.328800mm,-93.982500mm,Top,180
C9,84.328800mm,-95.506500mm,Top,180
C10,84.328800mm,-97.030500mm,Top,180
C11,84.300000mm,-92.500000mm,Top,180
C13,83.566000mm,-79.883000mm,Top,270
C14,91.998800mm,-79.883000mm,Top,270
C15,43.000000mm,-42.750000mm,Top,270
C17,40.665400mm,-64.135000mm,Top,270
C18,41.554400mm,-55.321200mm,Top,90
C19,39.573200mm,-42.418000mm,Top,0
C20,34.163000mm,-109.855000mm,Top,0
C21,53.350000mm,-100.950000mm,Top,0
C22,56.400000mm,-100.950000mm,Top,0
C23,61.750000mm,-99.882000mm,Top,90
C24,60.250000mm,-99.882000mm,Top,90
C25,65.125600mm,-79.400400mm,Top,90
C26,45.897800mm,-75.311000mm,Top,180
C27,63.300000mm,-99.882000mm,Top,90
C28,47.350000mm,-100.050000mm,Top,0
C29,64.850000mm,-99.882000mm,Top,90
C30,43.383200mm,-91.897200mm,Top,180
C31,63.804800mm,-91.948000mm,Top,90
C32,63.601600mm,-79.400400mm,Top,270
C33,45.900000mm,-76.800000mm,Top,0
C34,25.400000mm,-87.884000mm,Top,180
C35,71.755000mm,-44.704000mm,Top,0
C36,27.686000mm,-105.727500mm,Top,0
C37,64.389000mm,-111.887000mm,Top,270
C38,27.686000mm,-104.203500mm,Top,180
C39,26.797000mm,-101.790500mm,Top,0
C40,65.849500mm,-59.436000mm,Top,180
C41,86.900000mm,-79.883000mm,Top,270
C42,67.450000mm,-105.400000mm,Top,270
C43,92.900500mm,-76.644500mm,Top,270
C44,50.350000mm,-100.050000mm,Top,0
C78,40.640000mm,-60.553600mm,Top,90
C79,55.245000mm,-59.436000mm,Top,180
C80,47.244000mm,-50.419000mm,Top,90
C82,60.071000mm,-58.801000mm,Top,0
D1,95.186500mm,-80.200500mm,Top,0
D2,85.700000mm,-85.500000mm,Top,270
D13,65.252600mm,-50.495200mm,Top,180
D14,60.833000mm,-104.902000mm,Top,180
D16,60.833000mm,-112.268000mm,Top,0
D17,56.642000mm,-104.902000mm,Top,0
D19,25.400000mm,-86.309200mm,Top,180
D21,38.650000mm,-97.050000mm,Top,0
D22,38.633500mm,-98.950000mm,Top,0
D23,38.633500mm,-95.150000mm,Top,0
D27,38.633500mm,-93.250000mm,Top,0
D28,63.500000mm,-74.549000mm,Top,270
D29,54.559200mm,-76.530200mm,Top,180
D30,88.400000mm,-39.700000mm,Top,270
D31,93.091000mm,-36.576000mm,Top,270
D32,86.400000mm,-39.700000mm,Top,270
D33,91.567000mm,-36.576000mm,Top,270
D34,24.050000mm,-47.050000mm,Top,270
D35,26.250000mm,-35.150000mm,Top,270
D36,96.000000mm,-87.250000mm,Top,90
D37,91.789200mm,-87.250000mm,Top,90
D38,54.991000mm,-50.419000mm,Top,180
D39,60.388500mm,-50.495200mm,Top,0
D40,49.951640mm,-50.444400mm,Top,0
D41,76.835000mm,-98.425000mm,Top,90
FB1,66.421000mm,-99.949000mm,Top,90
FID1,28.194000mm,-27.736800mm,Top,0
FID2,46.736000mm,-97.155000mm,Top,0
FID3,73.914000mm,-60.452000mm,Top,0
FID4,86.309200mm,-111.963200mm,Top,0
J2,46.159000mm,-108.992200mm,Top,270
J4,35.763200mm,-75.971400mm,Top,90
Q1,92.456000mm,-96.520000mm,Top,0
R1,40.081200mm,-55.321200mm,Top,90
R2,71.983600mm,-77.774800mm,Top,270
R3,70.485000mm,-58.293000mm,Top,180
R4,73.507600mm,-77.774800mm,Top,270
R5,62.400000mm,-67.400000mm,Top,90
R6,89.027000mm,-79.883000mm,Top,90
R8,85.100000mm,-79.900000mm,Top,90
R10,79.311500mm,-47.498000mm,Top,0
R12,69.469000mm,-43.942000mm,Top,270
R13,74.041000mm,-43.942000mm,Top,270
R14,56.896000mm,-43.942000mm,Top,90
R15,71.755000mm,-43.180000mm,Top,0
R16,38.582600mm,-55.321200mm,Top,270
R20,90.512900mm,-79.883000mm,Top,270
R21,69.469000mm,-46.990000mm,Top,90
R22,85.800000mm,-82.800000mm,Top,0
R23,55.372000mm,-43.917400mm,Top,90
R24,62.992000mm,-43.942000mm,Top,90
R25,53.771800mm,-43.916600mm,Top,90
R26,60.900000mm,-67.400000mm,Top,90
R27,52.197000mm,-43.916600mm,Top,90
R28,56.819800mm,-75.768200mm,Top,270
R29,61.976000mm,-74.549000mm,Top,270
R31,61.468000mm,-43.942000mm,Top,90
R32,59.400000mm,-67.400000mm,Top,90
R34,59.950000mm,-43.950000mm,Top,90
R35,57.900000mm,-67.400000mm,Top,90
R36,90.850000mm,-33.401000mm,Top,90
R37,58.420000mm,-43.942000mm,Top,90
R38,62.400000mm,-70.400000mm,Top,90
R39,60.900000mm,-70.400000mm,Top,90
R41,50.673000mm,-43.942000mm,Top,90
R42,39.573200mm,-40.894000mm,Top,0
R43,37.211000mm,-109.855000mm,Top,180
R44,59.400000mm,-70.400000mm,Top,90
R45,43.304500mm,-89.281800mm,Top,180
R46,57.900000mm,-70.400000mm,Top,90
R47,57.277000mm,-111.887000mm,Top,270
R48,64.262000mm,-104.902000mm,Top,180
R49,89.281000mm,-33.401000mm,Top,90
R50,25.400000mm,-84.734400mm,Top,180
R51,24.700000mm,-35.150000mm,Top,90
R53,68.400000mm,-67.400000mm,Top,90
R54,67.564000mm,-43.942000mm,Top,90
R55,66.900000mm,-67.400000mm,Top,90
R56,66.040000mm,-43.942000mm,Top,90
R57,65.400000mm,-67.400000mm,Top,90
R58,64.526160mm,-43.936920mm,Top,90
R59,63.900000mm,-67.400000mm,Top,90
R60,68.400000mm,-70.400000mm,Top,90
R61,66.900000mm,-70.400000mm,Top,90
R62,65.400000mm,-70.400000mm,Top,90
R63,63.900000mm,-70.400000mm,Top,90
R64,56.400000mm,-67.400000mm,Top,90
R65,54.900000mm,-67.400000mm,Top,90
R66,53.400000mm,-67.400000mm,Top,90
R67,51.900000mm,-67.400000mm,Top,90
R68,56.400000mm,-70.400000mm,Top,90
R69,54.900000mm,-70.400000mm,Top,90
R70,53.400000mm,-70.400000mm,Top,90
R71,51.900000mm,-70.400000mm,Top,90
R72,50.400000mm,-67.400000mm,Top,90
R73,48.900000mm,-67.400000mm,Top,90
R74,47.400000mm,-67.400000mm,Top,90
R75,45.900000mm,-67.400000mm,Top,90
R76,50.400000mm,-70.400000mm,Top,90
R77,48.900000mm,-70.400000mm,Top,90
R78,47.400000mm,-70.400000mm,Top,90
R79,45.900000mm,-70.400000mm,Top,90
R120,24.658800mm,-56.300000mm,Top,270
R121,26.958800mm,-56.300000mm,Top,270
R122,29.258800mm,-56.300000mm,Top,270
R123,31.558800mm,-56.300000mm,Top,270
R124,33.858800mm,-56.300000mm,Top,270
R125,36.158800mm,-56.300000mm,Top,270
R131,49.149000mm,-43.942000mm,Top,90
R139,47.625000mm,-43.942000mm,Top,90
R141,47.619920mm,-46.987460mm,Top,270
RN1,35.063000mm,-95.631000mm,Top,90
RN2,65.648840mm,-47.043340mm,Top,180
RN3,54.579000mm,-47.014000mm,Top,180
RN4,61.327500mm,-47.064000mm,Top,180
RN5,30.200000mm,-67.950000mm,Top,180
RN6,25.700000mm,-67.950000mm,Top,180
RN13,50.274020mm,-47.039680mm,Top,180
SW1,36.728400mm,-88.442800mm,Top,0
SW2,36.728400mm,-84.124800mm,Top,180
U1,54.086800mm,-86.284600mm,Top,0
U2,83.500000mm,-68.403000mm,Top,0
U4,38.100000mm,-48.641000mm,Top,180
U5,27.600000mm,-95.900000mm,Top,270
U6,73.914000mm,-108.839000mm,Top,0
U7,70.900000mm,-92.300000mm,Top,0
U8,64.770000mm,-62.992000mm,Top,90
U11,74.000000mm,-109.500000mm,Top,0
U31,26.263600mm,-62.534800mm,Top,0
U32,31.699200mm,-62.534800mm,Top,0
U33,37.134800mm,-62.534800mm,Top,0
U35,54.356000mm,-62.992000mm,Top,90
U36,60.893960mm,-55.118000mm,Top,270
U46,49.852580mm,-55.176420mm,Top,270
X1,55.150000mm,-98.200000mm,Top,180
Y2,49.800000mm,-98.100000mm,Top,180
