Designator,Mid X,Mid Y,Layer,Rotation
D1,149.225000mm,-144.145000mm,Top,270
D2,149.225000mm,-137.795000mm,Top,270
D3,146.685000mm,-144.125000mm,Top,270
D4,146.685000mm,-137.795000mm,Top,270
D5,57.785000mm,-32.385000mm,Top,90
D6,57.785000mm,-38.735000mm,Top,90
D7,61.478400mm,-74.266600mm,Top,90
D8,61.595000mm,-80.645000mm,Top,90
D9,58.420000mm,-74.295000mm,Top,270
D10,58.420000mm,-80.645000mm,Top,270
D11,60.325000mm,-45.085000mm,Top,270
D12,60.325000mm,-38.735000mm,Top,270
D13,63.500000mm,-45.085000mm,Top,270
D14,63.500000mm,-38.735000mm,Top,270
D15,66.675000mm,-45.085000mm,Top,270
D16,66.675000mm,-38.735000mm,Top,270
D17,69.850000mm,-45.085000mm,Top,270
D18,69.850000mm,-38.735000mm,Top,270
D19,76.200000mm,-45.085000mm,Top,270
D20,76.200000mm,-38.735000mm,Top,270
D21,73.025000mm,-45.085000mm,Top,270
D22,73.025000mm,-38.735000mm,Top,270
D23,125.095000mm,-38.735000mm,Top,90
D24,125.095000mm,-32.385000mm,Top,90
D25,102.235000mm,-38.735000mm,Top,90
D26,102.235000mm,-32.385000mm,Top,90
D27,107.950000mm,-38.735000mm,Top,90
D28,107.950000mm,-32.385000mm,Top,90
D29,85.090000mm,-38.735000mm,Top,90
D30,85.090000mm,-32.385000mm,Top,90
D31,90.805000mm,-38.735000mm,Top,90
D32,90.805000mm,-32.385000mm,Top,90
D33,96.520000mm,-38.735000mm,Top,90
D34,96.520000mm,-32.385000mm,Top,90
D35,113.665000mm,-38.735000mm,Top,90
D36,113.665000mm,-32.385000mm,Top,90
D37,130.810000mm,-38.735000mm,Top,90
D38,130.810000mm,-32.385000mm,Top,90
D39,136.525000mm,-38.735000mm,Top,90
D40,136.525000mm,-32.385000mm,Top,90
D41,119.380000mm,-38.735000mm,Top,90
D42,119.380000mm,-32.385000mm,Top,90
D43,142.240000mm,-38.735000mm,Top,90
D44,142.240000mm,-32.385000mm,Top,90
D45,147.955000mm,-38.735000mm,Top,90
D46,147.955000mm,-32.385000mm,Top,90
D47,79.375000mm,-38.735000mm,Top,90
D48,79.375000mm,-32.385000mm,Top,90
D49,57.785000mm,-114.935000mm,Top,0
D50,57.785000mm,-117.475000mm,Top,0
D51,57.785000mm,-120.015000mm,Top,0
D52,57.785000mm,-122.555000mm,Top,0
D53,57.785000mm,-125.095000mm,Top,0
D54,57.785000mm,-127.635000mm,Top,0
D55,57.785000mm,-130.175000mm,Top,0
D56,57.785000mm,-132.715000mm,Top,0
D57,57.785000mm,-135.255000mm,Top,0
D58,57.785000mm,-137.795000mm,Top,0
D59,57.785000mm,-140.335000mm,Top,0
D60,57.785000mm,-142.875000mm,Top,0
D61,57.785000mm,-145.415000mm,Top,0
D62,57.785000mm,-147.955000mm,Top,0
D63,57.785000mm,-150.495000mm,Top,0
D64,57.785000mm,-153.035000mm,Top,0
D65,51.435000mm,-114.935000mm,Top,0
D66,51.435000mm,-117.475000mm,Top,0
D67,51.435000mm,-120.015000mm,Top,0
D68,51.435000mm,-122.555000mm,Top,0
D69,51.435000mm,-125.095000mm,Top,0
D70,51.435000mm,-127.635000mm,Top,0
D71,51.435000mm,-130.175000mm,Top,0
D72,51.435000mm,-132.715000mm,Top,0
D73,51.435000mm,-135.255000mm,Top,0
D74,51.435000mm,-137.795000mm,Top,0
D75,51.435000mm,-140.335000mm,Top,0
D76,51.435000mm,-142.875000mm,Top,0
D77,51.435000mm,-145.415000mm,Top,0
D78,51.435000mm,-147.955000mm,Top,0
D79,51.435000mm,-150.495000mm,Top,0
D80,51.435000mm,-153.035000mm,Top,0
D81,40.640000mm,-73.025000mm,Top,180
D82,34.290000mm,-73.025000mm,Top,180
D83,40.640000mm,-78.105000mm,Top,180
D84,34.290000mm,-78.105000mm,Top,180
D85,40.640000mm,-83.185000mm,Top,180
D86,34.290000mm,-83.185000mm,Top,180
D87,40.640000mm,-88.265000mm,Top,180
D88,34.290000mm,-88.265000mm,Top,180
D89,40.640000mm,-93.345000mm,Top,180
D90,34.290000mm,-93.345000mm,Top,180
D91,40.640000mm,-98.425000mm,Top,180
D92,34.290000mm,-98.425000mm,Top,180
D93,40.640000mm,-103.505000mm,Top,180
D94,34.290000mm,-103.505000mm,Top,180
D95,124.460000mm,-79.375000mm,Top,0
D96,40.640000mm,-108.585000mm,Top,180
D97,34.290000mm,-108.585000mm,Top,180
R1,149.225000mm,-131.445000mm,Top,270
R2,146.685000mm,-131.445000mm,Top,270
R3,90.424000mm,-59.690000mm,Top,0
R4,57.785000mm,-45.085000mm,Top,270
R5,61.595000mm,-86.995000mm,Top,270
