Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148WS","SM0805_jumper",149.225000,-144.145000,270.000000,top
"D2","GRN","SM0805_jumper",149.225000,-137.795000,270.000000,top
"D3","1N4148WS","SM0805_jumper",146.685000,-144.125000,270.000000,top
"D4","GRN","SM0805_jumper",146.685000,-137.795000,270.000000,top
"D5","1N4148WS","SM0805_jumper",57.785000,-32.385000,90.000000,top
"D6","GRN","SM0805_jumper",57.785000,-38.735000,90.000000,top
"D7","1N4148WS","SM0805_jumper",61.478400,-74.266600,90.000000,top
"D8","YEL(593NM)","SM0805_jumper",61.595000,-80.645000,90.000000,top
"D9","1N4148WS","SM0805_jumper",58.420000,-74.295000,270.000000,top
"D10","YEL(570NM)","SM0805_jumper",58.420000,-80.645000,270.000000,top
"D11","1N4148WS","SM0805_jumper",60.325000,-45.085000,270.000000,top
"D12","BLU","SM0805_jumper",60.325000,-38.735000,270.000000,top
"D13","1N4148WS","SM0805_jumper",63.500000,-45.085000,270.000000,top
"D14","BLU","SM0805_jumper",63.500000,-38.735000,270.000000,top
"D15","1N4148WS","SM0805_jumper",66.675000,-45.085000,270.000000,top
"D16","BLU","SM0805_jumper",66.675000,-38.735000,270.000000,top
"D17","1N4148WS","SM0805_jumper",69.850000,-45.085000,270.000000,top
"D18","BLU","SM0805_jumper",69.850000,-38.735000,270.000000,top
"D19","1N4148WS","SM0805_jumper",76.200000,-45.085000,270.000000,top
"D20","BLU","SM0805_jumper",76.200000,-38.735000,270.000000,top
"D21","1N4148WS","SM0805_jumper",73.025000,-45.085000,270.000000,top
"D22","BLU","SM0805_jumper",73.025000,-38.735000,270.000000,top
"D23","RED","SM0805_jumper",125.095000,-38.735000,90.000000,top
"D24","1N4148WS","SM0805_jumper",125.095000,-32.385000,90.000000,top
"D25","RED","SM0805_jumper",102.235000,-38.735000,90.000000,top
"D26","1N4148WS","SM0805_jumper",102.235000,-32.385000,90.000000,top
"D27","RED","SM0805_jumper",107.950000,-38.735000,90.000000,top
"D28","1N4148WS","SM0805_jumper",107.950000,-32.385000,90.000000,top
"D29","RED","SM0805_jumper",85.090000,-38.735000,90.000000,top
"D30","1N4148WS","SM0805_jumper",85.090000,-32.385000,90.000000,top
"D31","RED","SM0805_jumper",90.805000,-38.735000,90.000000,top
"D32","1N4148WS","SM0805_jumper",90.805000,-32.385000,90.000000,top
