References,Part #,VEND#,Value,Footprint,Quantity,Quoted Part Number,Order Quantity,Order Price,Min\Mult Order Qty
C39,TAJA156M010RNJ,,15uF,Tantalum Capacitors - Solid SMD Tantalum Capacitors - Solid SMD 10volts 15uF 20%,1,581-TAJA156M010R,1,$0.39 ,1\1
C2,UCD1H101MNL1GS,647-UCD1H101MNL1GS,100UF 50V,Aluminum Electrolytic Capacitors - SMD Aluminum Electrolytic Capacitors - SMD 50volts 100uF 105c,1,647-UCD1H101MNL1GS,1,$0.66 ,1\1
"R29, R36, R49, R51",ERJ-2GEJ102X,,1K,Thick Film Resistors - SMD Thick Film Resistors - SMD 0402 1Kohms 5% AEC-Q200,4,667-ERJ-2GEJ102X,4,$0.10 ,1\1
D21,LTST-C281KRKT,,LED,Standard LEDs - SMD Standard LEDs - SMD SMD LED Red 631nm 54mcd 130VA,1,859-LTST-C281KRKT,1,$0.45 ,1\1
D22,LTST-C281KGKT,,LED,Standard LEDs - SMD Standard LEDs - SMD SMD LED Green 571nm 35mcd 130VA,1,859-LTST-C281KGKT,1,$0.45 ,1\1
D23,LTST-C281TBKT,,LED,Standard LEDs - SMD Standard LEDs - SMD SMD LED Blue 475nn 45mcd 130VA,1,859-LTST-C281TBKT,1,$0.58 ,1\1
D27,LTST-C281KFKT,,LED,Standard LEDs - SMD Standard LEDs - SMD SMD LED Orange 605nm 90mcd 130VA,1,859-LTST-C281KFKT,1,$0.45 ,1\1
D19,LTST-C190KRKT,,LED,Standard LEDs - SMD Standard LEDs - SMD Red Clear 631nm,1,859-LTST-C190KRKT,1,$0.25 ,1\1
D16,ESDA6V1BC6,,ESDA6V1BC6,ESD Suppressors / TVS Diodes ESD Suppressors / TVS Diodes 6.1V 80W Bidirect,1,511-ESDA6V1BC6,1,$0.38 ,1\1
D14,599-0281-007F,645-599-0281-007F,LED-green,Standard LEDs - SMD Standard LEDs - SMD SMD 1206 GREEN,1,645-599-0281-007F,1,$0.51 ,1\1
"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D18, D24, D25, D26",SBAS70-04LT1G,,BAS70-04,Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers SS SOT23 SHKY DIO 70,15,863-SBAS70-04LT1G,15,$0.18 ,1\1
D1,MBRS3200T3G,863-MBRS3200T3G,MBRS3200T3G,Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers 3A 200V,1,863-MBRS3200T3G,1,$0.62 ,1\1
"D15, D20",NSR0530HT,,NSR0530HT,Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers 0.5 A 30 V SOD-323 S,2,863-NSR0530HT1G,2,$0.16 ,1\1
D2,PESD1CANUX,771-PESD1CANUX,PESD1CAN-UX,ESD Suppressors / TVS Diodes ESD Suppressors / TVS Diodes CAN bus ESD protection diode,1,771-PESD1CANUX,1,$0.36 ,1\1
D17,BAT60JFILM,"DIGI,497-3707-1-ND",DIODESCH,Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers 3.0 Amp 10 Volt,1,511-BAT60JFILM,1,$0.37 ,1\1
U11,IS25WP256D-RMLE,,IS25WP256D-xM,NOR Flash NOR Flash 256Mb QPI/QSPI 16pin SOP 300mil ET,1,870-IS25WP256D-RMLE,1,$4.78 ,1\1
"U8, U35, U36, U46",MCP6004T-I/ST,579-MCP6004T-I/ST,MCP6004,Operational Amplifiers - Op Amps Operational Amplifiers - Op Amps Quad 1.8V 1MHz,4,579-MCP6004T-I/ST,4,$0.44 ,1\1
U1,511-STM32F767VIT6,511-STM32F767VIT6,STM32F767VITx,ARM Microcontrollers - MCU ARM Microcontrollers - MCU 16/32-BITS MICROS,1,511-STM32F767VIT6,1,$15.00 ,1\1
"U31, U32, U33",579-TC4427EOA,579-TC4427EOA,TC4427,Gate Drivers Gate Drivers 1.5A Dual MOSFET Dr NonInver Etemp SOIC8,3,579-TC4427EOA,3,$1.35 ,1\1
"U6, U37, U38, U48",WRONG,xx,10k,Resistor Networks & Arrays Resistor Networks & Arrays 10K   5% CONVEX SQUARE  4X1206,4,xx,4,$0.63 ,1\1
"U9, U41, U42, U52",667-EXB-V8V102JV,667-EXB-V8V102JV,1k,Resistor Networks & Arrays Resistor Networks & Arrays 1K OHM 5%,4,667-EXB-V8V102JV,4,$0.10 ,1\1
"U10, U43, U44, U54",667-EXB-V8V152JV,667-EXB-V8V152JV,1.5k,Resistor Networks & Arrays Resistor Networks & Arrays 1.5K OHM 5%,4,667-EXB-V8V152JV,4,$0.14 ,1\1
U4,726-TLE9201SG,,TLE9201SG,Motor / Motion / Ignition Controllers & Drivers Motor / Motion / Ignition Controllers & Drivers PWTRN H-BRIDGES,1,726-TLE9201SG,1,$3.71 ,1\1
"U7, U39, U40, U50",80-CA064X103K2RAUTO,,10nF,Capacitor Arrays & Networks Capacitor Arrays & Networks 200volts .01uF 10% X7R AUTO,4,80-CA064X103K2RAUTO,4,$0.51 ,1\1
U5,926-LM2937IMP3.3NOPB,,LM2937,LDO Voltage Regulators LDO Voltage Regulators 400 mA LDO REG,1,926-LM2937IMP3.3NOPB,1,$1.76 ,1\1
U2,TLE88882QKXUMA1,726-TLE88882QKXUMA1,TLE8888QK,Power Management Specialized - PMIC Power Management Specialized - PMIC ENGINECONTROL_IC,1,726-TLE88882QKXUMA1,1,$16.83 ,1\1
X1,NX3225GD-8MHZ-STD-CRA-3,344-NX3225GD8MCRA3,8MHz,Crystals Crystals CRYSTAL 8MHZ 8PF SMD,1,344-NX3225GD8MCRA3,1,$0.94 ,1\1
FB1,BLM21PG221SN1D,81-BLM21P221SG,FILTER,Ferrite Beads Ferrite Beads 0805 220 OHM,1,81-BLM21P221SG,1,$0.10 ,1\1
Q1,IPD30N06S2L23ATMA3,726-IPD30N06S2L23AT3,IPD30N06S2L-23,MOSFET MOSFET N-CHANNEL_55/60V,1,726-IPD30N06S2L23AT3,1,$0.92 ,1\1
